Date,Dividends
2014-08-07 00:00:00-04:00,0.1175
2014-11-06 00:00:00-05:00,0.1175
2015-02-05 00:00:00-05:00,0.1175
2015-05-07 00:00:00-04:00,0.13
2015-08-06 00:00:00-04:00,0.13
2015-11-05 00:00:00-05:00,0.13
2016-02-04 00:00:00-05:00,0.13
2016-05-05 00:00:00-04:00,0.1425
2016-08-04 00:00:00-04:00,0.1425
2016-11-03 00:00:00-04:00,0.1425
2017-02-09 00:00:00-05:00,0.1425
2017-05-11 00:00:00-04:00,0.1575
2017-08-10 00:00:00-04:00,0.1575
2017-11-10 00:00:00-05:00,0.1575
2018-02-09 00:00:00-05:00,0.1575
2018-05-11 00:00:00-04:00,0.1825
2018-08-10 00:00:00-04:00,0.1825
2018-11-08 00:00:00-05:00,0.1825
2019-02-08 00:00:00-05:00,0.1825
2019-05-10 00:00:00-04:00,0.1925
2019-08-09 00:00:00-04:00,0.1925
2019-11-07 00:00:00-05:00,0.1925
2020-02-07 00:00:00-05:00,0.1925
2020-05-08 00:00:00-04:00,0.205
2020-08-07 00:00:00-04:00,0.205
2020-11-06 00:00:00-05:00,0.205
2021-02-05 00:00:00-05:00,0.205
2021-05-07 00:00:00-04:00,0.22
2021-08-06 00:00:00-04:00,0.22
2021-11-05 00:00:00-04:00,0.22
2022-02-04 00:00:00-05:00,0.22
2022-05-06 00:00:00-04:00,0.23
2022-08-05 00:00:00-04:00,0.23
2022-11-04 00:00:00-04:00,0.23
2023-02-10 00:00:00-05:00,0.23
2023-05-12 00:00:00-04:00,0.24
2023-08-11 00:00:00-04:00,0.24
2023-11-10 00:00:00-05:00,0.24
2024-02-09 00:00:00-05:00,0.24
2024-05-10 00:00:00-04:00,0.25
2024-08-12 00:00:00-04:00,0.25
2024-11-08 00:00:00-05:00,0.25
